dataset,method,method_label,run_timestamp,source,ratio,auc,ekr,esr,compression_ratio,accepted_events,mean_auc,mean_ekr,mean_esr
nmnist,ba_snn,BA Filter,20260522_101453_643577,ba,0.5,0.744797964217857,0.44444960355758667,,2.249973920443627,182135,0.6906734351343558,0.471713000535965,
nmnist,ba_snn,BA Filter,20260522_101453_643577,ba,1.0,0.7333665203752576,0.3936379849910736,,2.540405331895129,215083,0.6906734351343558,0.471713000535965,
nmnist,ba_snn,BA Filter,20260522_101453_643577,ba,2.0,0.7122308280777017,0.3799525797367096,,2.6319073369984074,311408,0.6906734351343558,0.471713000535965,
nmnist,ba_snn,BA Filter,20260522_101453_643577,ba,5.0,0.660750222365382,0.48200151324272156,,2.0746822529977447,790094,0.6906734351343558,0.471713000535965,
nmnist,ba_snn,BA Filter,20260522_101453_643577,ba,10.0,0.6022216406355807,0.6585233211517334,,1.5185491365026653,1978987,0.6906734351343558,0.471713000535965,
nmnist,ba_snn,BA Filter,20260522_101453_643577,mixed,0.5,0.7458960480578052,0.44204238057136536,,2.2622264909143097,181164,0.6940953335583685,0.46001275181770324,
nmnist,ba_snn,BA Filter,20260522_101453_643577,mixed,1.0,0.7351524872566393,0.38905012607574463,,2.5703628093381186,212591,0.6940953335583685,0.46001275181770324,
nmnist,ba_snn,BA Filter,20260522_101453_643577,mixed,2.0,0.7149587857177443,0.3708288073539734,,2.696662225073615,303945,0.6940953335583685,0.46001275181770324,
nmnist,ba_snn,BA Filter,20260522_101453_643577,mixed,5.0,0.665626021292041,0.4633938670158386,,2.157991461486512,759617,0.6940953335583685,0.46001275181770324,
nmnist,ba_snn,BA Filter,20260522_101453_643577,mixed,10.0,0.6088433254676127,0.6347485780715942,,1.5754268666355973,1907563,0.6940953335583685,0.46001275181770324,
nmnist,ba_snn,BA Filter,20260522_101453_643577,shot,0.5,0.7478284457313535,0.4376416802406311,,2.2849743243770666,179353,0.7031252229092358,0.4304995834827423,
nmnist,ba_snn,BA Filter,20260522_101453_643577,shot,1.0,0.7385407122246876,0.378202348947525,,2.6440872338057613,206663,0.7031252229092358,0.4304995834827423,
nmnist,ba_snn,BA Filter,20260522_101453_643577,shot,2.0,0.7221640635580657,0.34793442487716675,,2.8741049073171414,285166,0.7031252229092358,0.4304995834827423,
nmnist,ba_snn,BA Filter,20260522_101453_643577,shot,5.0,0.6795534437661528,0.416953444480896,,2.398349337145181,683483,0.7031252229092358,0.4304995834827423,
nmnist,ba_snn,BA Filter,20260522_101453_643577,shot,10.0,0.6275394492659196,0.5717660188674927,,1.7489671267237592,1718265,0.7031252229092358,0.4304995834827423,
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,ba,0.5,0.5334274956160784,0.06866537034511566,0.09034440096779271,14.563381783290096,28139,0.6323286686281795,0.21693195551633834,0.35417772393017544
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,ba,1.0,0.5490770343612403,0.07791390269994736,0.12554218719687846,12.834680071408437,42572,0.6323286686281795,0.21693195551633834,0.35417772393017544
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,ba,2.0,0.5748113470835492,0.08841662108898163,0.18453215421725555,11.310090249220323,72466,0.6323286686281795,0.21693195551633834,0.35417772393017544
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,ba,5.0,0.7035961187859696,0.20518925786018372,0.5024176516019458,4.873549480444186,336345,0.6323286686281795,0.21693195551633834,0.35417772393017544
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,ba,10.0,0.8007313472940603,0.6444746255874634,0.8680522256670047,1.5516515142753289,1936768,0.6323286686281795,0.21693195551633834,0.35417772393017544
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,mixed,0.5,0.5352455501717351,0.06932562589645386,0.09234294415426118,14.42467971279741,28412,0.6243776067920905,0.17442305386066437,0.3215890248500178
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,mixed,1.0,0.5422725711695789,0.06707464158535004,0.10844109971119953,14.908763505402161,36652,0.6243776067920905,0.17442305386066437,0.3215890248500178
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,mixed,2.0,0.5656761494003014,0.07636429369449615,0.16163675562502058,13.095125497275966,62591,0.6243776067920905,0.17442305386066437,0.3215890248500178
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,mixed,5.0,0.6722768100178029,0.14858712255954742,0.41473797488277775,6.730058176055442,243571,0.6243776067920905,0.17442305386066437,0.3215890248500178
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,mixed,10.0,0.8064169532010346,0.5107635855674744,0.8307863498768298,1.9578529733673842,1534960,0.6243776067920905,0.17442305386066437,0.3215890248500178
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,shot,0.5,0.5304017581802939,0.056671638041734695,0.07681580093631382,17.645511302475782,23225,0.5954215469024401,0.08592493832111359,0.22824680910252235
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,shot,1.0,0.5361315324837124,0.05360930413007736,0.08956108916943327,18.653478528026216,29294,0.5954215469024401,0.08592493832111359,0.22824680910252235
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,shot,2.0,0.5572718221620225,0.06024424359202385,0.136138858487769,16.599096727154894,49376,0.5954215469024401,0.08592493832111359,0.22824680910252235
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,shot,5.0,0.6014210498157878,0.06943988054990768,0.23632224129663726,14.400947042906841,113828,0.5954215469024401,0.08592493832111359,0.22824680910252235
nmnist,proposed_conf,Proposed +CONF,20260522_132414_362184,shot,10.0,0.7518815718703842,0.18965962529182434,0.6023960556224583,5.2726036602375945,569963,0.5954215469024401,0.08592493832111359,0.22824680910252235
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,ba,0.5,0.5342454986729354,0.06990500539541245,0.09209770167533556,14.305127936607672,28647,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,ba,1.0,0.5491314168294567,0.0780969187617302,0.1257325246432088,12.80460254968129,42672,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,ba,2.0,0.575573127646517,0.08932072669267654,0.18631107727334287,11.195609709454015,73207,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,ba,5.0,0.7096544711315992,0.2158353477716446,0.5185414295074287,4.633161482888444,353796,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,ba,10.0,0.8039668770063124,0.6647199392318726,0.8780961862964359,1.5043930018336922,1997609,0.6345142782573642,0.22357558757066726,0.36015578387915037
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,mixed,0.5,0.5361266057199333,0.07078475505113602,0.09425363928857719,14.12733540158566,29010,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,mixed,1.0,0.5434496107356782,0.06874912977218628,0.11102163624317805,14.545638459286076,37567,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,mixed,2.0,0.5661065007820091,0.0778539776802063,0.16309722949205524,12.844559017112768,63812,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,mixed,5.0,0.6900699056044202,0.17386214435100555,0.4594855764479372,5.751683315614222,285003,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,mixed,10.0,0.8097000630673887,0.5743069052696228,0.8536817484690646,1.741229325543101,1725922,0.6290905371818859,0.1931113824248314,0.3363079659881625
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,shot,0.5,0.5324049630043571,0.05983646214008331,0.08105812978817638,16.71221760052198,24522,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,shot,1.0,0.5391878923362106,0.05775618180632591,0.09619361710694402,17.31416349809886,31560,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,shot,2.0,0.5680714083276808,0.07085799425840378,0.15946617666975355,14.112733534222988,58075,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,shot,5.0,0.646769957841395,0.1067250445485115,0.3394192511685621,9.36987201838271,174947,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_pol,Proposed +OPP,20260522_132414_362184,shot,10.0,0.8111436698827583,0.35892850160598755,0.7709105816639154,2.7860701544896944,1078648,0.6195155782784804,0.1308208368718624,0.28940955127947027
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,ba,0.5,0.49913059953557043,0.9601658582687378,,1.0414867526526463,393475,0.4989724564603225,0.8883715033531189,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,ba,1.0,0.49900438874227215,0.9479463696479797,,1.0549120002471253,517956,0.4989724564603225,0.8883715033531189,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,ba,2.0,0.4989037295158474,0.9243823289871216,,1.0818034346988799,757621,0.4989724564603225,0.8883715033531189,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,ba,5.0,0.49865336256721293,0.8562299609184265,,1.1679105567616441,1403527,0.4989724564603225,0.8883715033531189,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,ba,10.0,0.4991702019407098,0.7531329989433289,,1.3277867297719663,2263307,0.4989724564603225,0.8883715033531189,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,mixed,0.5,0.5707344689213554,0.9136333465576172,,1.0945310037976914,374438,0.5661258780611911,0.8119491696357727,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,mixed,1.0,0.5700218135710324,0.8799877762794495,,1.1363794225726151,480857,0.5661258780611911,0.8119491696357727,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,mixed,2.0,0.5685412850728904,0.8367460370063782,,1.195105769959815,685828,0.5661258780611911,0.8119491696357727,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,mixed,5.0,0.5643732700507479,0.7597598433494568,,1.3162054352137489,1245434,0.5661258780611911,0.8119491696357727,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,mixed,10.0,0.5569585526899291,0.6696188449859619,,1.4933868560036097,2012356,0.5661258780611911,0.8119491696357727,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,shot,0.5,0.740439902231225,0.8038612604141235,,1.243995798880511,329436,0.7287079553403695,0.6250795781612396,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,shot,1.0,0.7384667241452709,0.7179408073425293,,1.3928724369627945,392308,0.7287079553403695,0.6250795781612396,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,shot,2.0,0.7347235897642379,0.6279354095458984,,1.5925204117717924,514654,0.7287079553403695,0.6250795781612396,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,shot,5.0,0.7234860377810154,0.5236924886703491,,1.9095174692149717,858453,0.7287079553403695,0.6250795781612396,
nmnist,proposed_ref,Proposed +REF,20260522_101453_643577,shot,10.0,0.7064235227800981,0.45196792483329773,,2.212546447669021,1358249,0.7287079553403695,0.6250795781612396,
